model,params,precision,recall,accuracy,f1-score
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.719193427931292,0.425306392845313,0.871109659571198,0.5345174495247346
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7223421225485597,0.4249751573368665,0.8715227080611696,0.5351221716311565
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.7295782674772037,0.4240366567296014,0.8724352570506416,0.5363452272885971
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.7205965109735509,0.42414706856575024,0.8711865058018904,0.5339866555462887
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.728149829738933,0.4249751573368665,0.8723391992622762,0.5367078017151223
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.730989136649514,0.42348459754885726,0.8725697379543533,0.5362835570469799
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 40, 'n_estimators': 50}",0.7335291238374939,0.4136579441316109,0.8718300929839391,0.5289985527198278
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 40, 'n_estimators': 100}",0.7355068873253394,0.40973832394832727,0.8716571889648813,0.5262896649530225
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 40, 'n_estimators': 500}",0.7377293009419931,0.4107320304736668,0.8720606316760163,0.527678286464059
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.7240794801770412,0.42447830407419673,0.8717148236379005,0.5352034246336964
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7230783776117992,0.4222148614331456,0.8713305924844387,0.5331288557387334
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.7318708688571702,0.4217732140885503,0.8725024975024975,0.5351451686337688
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.7242324043457723,0.42320856795848516,0.871599554291862,0.5342346423220321
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.7282276546982429,0.42100033123550845,0.871916544993468,0.5335478905758063
Random Forest,"{'class_weight': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",0.7314521547173433,0.42072430164513636,0.8723295934834396,0.5341884835103213
